price,vol,time
9.07,2550,09:31
9.04,1455,09:32
9.01,1886,09:33
9.05,948,09:34
9.07,654,09:35
9.09,623,09:36
9.11,1249,09:37
9.1,817,09:38
9.09,283,09:39
9.09,572,09:40
9.14,997,09:41
9.13,676,09:42
9.14,1352,09:43
9.13,191,09:44
9.11,283,09:45
9.11,461,09:46
9.08,1214,09:47
9.11,327,09:48
9.09,295,09:49
9.1,1240,09:50
9.11,338,09:51
9.1,236,09:52
9.09,208,09:53
9.07,841,09:54
9.06,951,09:55
9.06,388,09:56
9.06,200,09:57
9.06,266,09:58
9.04,848,09:59
9.02,2535,10:00
9.04,996,10:01
9.04,651,10:02
9.05,414,10:03
9.04,174,10:04
9.04,474,10:05
9.05,196,10:06
9.05,122,10:07
9.05,367,10:08
9.06,91,10:09
9.06,217,10:10
9.07,98,10:11
9.05,209,10:12
9.05,196,10:13
9.06,251,10:14
9.06,149,10:15
9.05,195,10:16
9.05,424,10:17
9.04,638,10:18
9.04,328,10:19
9.03,351,10:20
9.04,116,10:21
9.05,184,10:22
9.04,230,10:23
9.04,261,10:24
9.04,164,10:25
9.03,510,10:26
9.02,976,10:27
9.02,943,10:28
9.03,209,10:29
9.03,448,10:30
9.03,304,10:31
9.02,313,10:32
9.03,364,10:33
9.04,547,10:34
9.04,208,10:35
9.04,208,10:36
9.04,206,10:37
9.05,67,10:38
9.04,265,10:39
9.05,148,10:40
9.04,578,10:41
9.03,869,10:42
9.03,155,10:43
9.03,128,10:44
9.03,343,10:45
9.02,131,10:46
9.03,217,10:47
9.03,195,10:48
9.04,164,10:49
9.03,32,10:50
9.05,678,10:51
9.04,61,10:52
9.05,82,10:53
9.04,15,10:54
9.04,13,10:55
9.05,556,10:56
9.06,572,10:57
9.06,86,10:58
9.07,40,10:59
9.08,328,11:00
9.07,270,11:01
9.08,185,11:02
9.09,115,11:03
9.11,479,11:04
9.1,213,11:05
9.1,336,11:06
9.09,65,11:07
9.08,308,11:08
9.09,514,11:09
9.09,59,11:10
9.09,44,11:11
9.09,0,11:12
9.09,59,11:13
9.08,42,11:14
9.09,82,11:15
9.08,30,11:16
9.08,158,11:17
9.07,355,11:18
9.08,230,11:19
9.07,91,11:20
9.09,314,11:21
9.08,67,11:22
9.09,8,11:23
9.08,239,11:24
9.08,169,11:25
9.08,63,11:26
9.1,328,11:27
9.09,156,11:28
9.1,137,11:29
9.11,120,11:30
9.13,587,13:01
9.11,69,13:02
9.12,88,13:03
9.12,31,13:04
9.11,55,13:05
9.12,338,13:06
9.12,76,13:07
9.1,352,13:08
9.11,134,13:09
9.11,244,13:10
9.11,94,13:11
9.1,40,13:12
9.11,101,13:13
9.1,86,13:14
9.1,180,13:15
9.09,85,13:16
9.1,37,13:17
9.09,60,13:18
9.09,163,13:19
9.09,154,13:20
9.08,10,13:21
9.08,425,13:22
9.08,66,13:23
9.09,76,13:24
9.09,154,13:25
9.1,31,13:26
9.09,256,13:27
9.09,85,13:28
9.1,124,13:29
9.1,10,13:30
9.13,912,13:31
9.13,528,13:32
9.12,194,13:33
9.13,493,13:34
9.19,1702,13:35
9.24,2806,13:36
9.21,778,13:37
9.21,760,13:38
9.24,1307,13:39
9.25,2486,13:40
9.21,729,13:41
9.21,513,13:42
9.22,443,13:43
9.21,667,13:44
9.18,220,13:45
9.2,163,13:46
9.18,128,13:47
9.17,207,13:48
9.19,264,13:49
9.19,113,13:50
9.18,280,13:51
9.18,137,13:52
9.18,206,13:53
9.18,217,13:54
9.19,563,13:55
9.19,210,13:56
9.2,120,13:57
9.2,199,13:58
9.19,22,13:59
9.19,142,14:00
9.19,47,14:01
9.2,492,14:02
9.2,140,14:03
9.2,275,14:04
9.19,493,14:05
9.19,107,14:06
9.19,219,14:07
9.2,424,14:08
9.19,84,14:09
9.2,234,14:10
9.19,143,14:11
9.18,67,14:12
9.18,27,14:13
9.18,77,14:14
9.19,59,14:15
9.18,11,14:16
9.18,511,14:17
9.18,127,14:18
9.17,124,14:19
9.16,135,14:20
9.16,281,14:21
9.16,71,14:22
9.17,41,14:23
9.16,166,14:24
9.16,70,14:25
9.16,95,14:26
9.16,126,14:27
9.16,288,14:28
9.15,265,14:29
9.15,437,14:30
9.15,434,14:31
9.13,927,14:32
9.14,342,14:33
9.14,139,14:34
9.14,168,14:35
9.14,146,14:36
9.15,141,14:37
9.14,63,14:38
9.15,63,14:39
9.15,574,14:40
9.15,541,14:41
9.16,165,14:42
9.16,164,14:43
9.15,263,14:44
9.16,84,14:45
9.16,107,14:46
9.15,171,14:47
9.16,359,14:48
9.17,1199,14:49
9.17,79,14:50
9.16,133,14:51
9.16,645,14:52
9.17,515,14:53
9.18,571,14:54
9.17,1454,14:55
9.18,560,14:56
9.17,1180,14:57
9.17,5,14:58
9.17,0,14:59
9.17,2264,15:00
